"Date","Close","Volume"
"04.01.2010",523.96,137055000
"05.01.2010",523.64,168916800
"06.01.2010",524.33,145659600
"07.01.2010",523.83,182195400
"08.01.2010",525.55,214804700
"11.01.2010",525.93,189962700
"12.01.2010",517.59,191580300
"13.01.2010",519.71,185076700
"14.01.2010",522.48,167065200
"15.01.2010",513.14,208268000
"18.01.2010",516.37,112098400
"19.01.2010",520.56,159323200
"20.01.2010",510.21,167641400
"21.01.2010",501.77,190062800
"22.01.2010",496.67,240544400
"25.01.2010",491.91,199198900
"26.01.2010",494.76,188213100
"27.01.2010",492.25,193048200
"28.01.2010",484.26,229885500
"29.01.2010",489.82,252945300
"01.02.2010",493.88,164677600
"02.02.2010",499.07,181769500
"03.02.2010",496.01,174807200
"04.02.2010",483.77,219416300
"05.02.2010",474.46,305380900
"08.02.2010",478.12,193882800
"09.02.2010",479.77,178758000
"10.02.2010",483.03,179519700
"11.02.2010",480.58,165451400
"12.02.2010",479.9,159833600
"15.02.2010",480.92,90418020
"16.02.2010",487.59,139752400
"17.02.2010",492.85,160384200
"18.02.2010",495.66,172992200
"19.02.2010",498.74,160268200
"22.02.2010",496.21,131088300
"23.02.2010",489.06,183579200
"24.02.2010",489.42,172296300
"25.02.2010",481.9,196963900
"26.02.2010",487.81,150896400
"01.03.2010",497.52,140502700
"02.03.2010",503.01,163756900
"03.03.2010",506.8,153092300
"04.03.2010",505.31,142738800
"05.03.2010",512.32,150425100
"08.03.2010",512.28,130221600
"09.03.2010",512.93,134557800
"10.03.2010",517.71,164526700
"11.03.2010",517.28,141316300
"12.03.2010",518.58,165575400
"15.03.2010",515.05,123928100
"16.03.2010",520.72,138719100
"17.03.2010",525.17,169100400
"18.03.2010",523.89,149095800
"19.03.2010",521.36,303946700
"22.03.2010",521.73,153088000
"23.03.2010",524.48,143998900
"24.03.2010",526.21,177002500
"25.03.2010",533.95,184269500
"26.03.2010",532.97,150334500
"29.03.2010",535.94,133412600
"30.03.2010",534.42,173735500
"31.03.2010",535.64,158062600
"01.04.2010",543.01,136629200
"06.04.2010",545.14,134898500
"07.04.2010",542.76,125958700
"08.04.2010",538.04,141100400
"09.04.2010",544.95,132010100
"12.04.2010",544.95,155989700
"13.04.2010",543.25,138779500
"14.04.2010",547.77,164501900
"15.04.2010",549.08,155585500
"16.04.2010",539.97,239336800
"19.04.2010",537.88,173691500
"20.04.2010",547.21,178911800
"21.04.2010",544.83,203388900
"22.04.2010",539.11,230791500
"23.04.2010",547.31,177150600
"26.04.2010",553.57,157626700
"27.04.2010",538.4,205732000
"28.04.2010",531.25,318720100
"29.04.2010",537.15,241149500
"30.04.2010",536.2,245318300
"03.05.2010",539.22,147993600
"04.05.2010",524.84,282748000
"05.05.2010",519.6,296582000
"06.05.2010",514.84,341845200
"07.05.2010",498.22,403339000
"10.05.2010",525.02,341478500
"11.05.2010",526.3,218348000
"12.05.2010",539.44,254449500
"13.05.2010",544.9,154234200
"14.05.2010",528.06,224559400
"17.05.2010",527.98,186998000
"18.05.2010",535.48,159968900
"19.05.2010",520.77,237156500
"20.05.2010",509.49,258378900
"21.05.2010",506.54,408182200
"24.05.2010",504.87,129439000
"25.05.2010",491.62,264514500
"26.05.2010",500.41,242755600
"27.05.2010",516.27,242009500
"28.05.2010",517.13,172281600
"31.05.2010",519.01,75948170
"01.06.2010",519.88,174624500
"02.06.2010",520.06,143837700
"03.06.2010",526.75,138621900
"04.06.2010",516.75,184159900
"07.06.2010",513.22,176739600
"08.06.2010",509.37,251636100
"09.06.2010",519.74,164793800
"10.06.2010",526.77,184577400
"11.06.2010",526.57,181876600
"14.06.2010",533.54,137778100
"15.06.2010",537.49,167153400
"16.06.2010",538.4,175473000
"17.06.2010",541.25,156145100
"18.06.2010",541.01,321107700
"21.06.2010",547.51,132722400
"22.06.2010",545.19,119593800
"23.06.2010",539.66,127166500
"24.06.2010",531.62,150188200
"25.06.2010",527.78,148302200
"28.06.2010",535.48,115648900
"29.06.2010",517.77,171102000
"30.06.2010",518.87,151238400
"01.07.2010",509.33,176208400
"02.07.2010",507.93,139098000
"05.07.2010",506.63,80771230
"06.07.2010",517.88,144737800
"07.07.2010",521.86,157222600
"08.07.2010",525.56,141109100
"09.07.2010",528.25,109947800
"12.07.2010",529.4,99197100
"13.07.2010",538.97,157865400
"14.07.2010",540.25,129656300
"15.07.2010",535.18,156866100
"16.07.2010",526.23,182394200
"19.07.2010",523.48,107175800
"20.07.2010",519.84,124773500
"21.07.2010",522.74,107049100
"22.07.2010",535.8,131251400
"23.07.2010",538.05,117158300
"26.07.2010",541.16,111093000
"27.07.2010",541.82,175355300
"28.07.2010",539.13,132702200
"29.07.2010",535.01,144644600
"30.07.2010",535.45,149983700
"02.08.2010",547.85,134842100
"03.08.2010",549.08,167412400
"04.08.2010",551.04,139952100
"05.08.2010",551.38,158809500
"06.08.2010",545.29,144701000
"09.08.2010",553.11,101852900
"10.08.2010",547.26,117838100
"11.08.2010",535.49,153979900
"12.08.2010",533.48,155005500
"13.08.2010",531.78,133178000
"16.08.2010",532,100691100
"17.08.2010",540.32,116157200
"18.08.2010",538.91,103195800
"19.08.2010",529.93,136934400
"20.08.2010",523.56,144466300
"23.08.2010",524.13,91474830
"24.08.2010",517.11,130799700
"25.08.2010",513.65,138082900
"26.08.2010",515.44,114533000
"27.08.2010",519.01,145760300
"30.08.2010",516.24,79864020
"31.08.2010",517.45,138631300
"01.09.2010",531.06,164300200
"02.09.2010",531.49,143315800
"03.09.2010",535.66,182976400
"06.09.2010",537.41,95610840
"07.09.2010",534.17,111926000
"08.09.2010",538.03,148580500
"09.09.2010",543.12,135363400
"10.09.2010",542.85,123585700
"13.09.2010",546.68,126013000
